id,latitude,longitude,location
NF_196388,41.71,-121.98,north
NF_196391,41.71,-121.98,north
NF_196392,41.66,-121.94,north
NF_196400,40.36,-122.96,north
NF_196402,40.36,-122.96,north
NF_196404,39.35,-122.66,north
NF_196405,39.35,-122.66,north
NF_196406,39.35,-122.66,north
NF_196413,40.27,-121.77,north
NF_196415,40.27,-121.77,north
NF_196416,38.57,-122.72,north
NF_196417,38.57,-122.72,north
NF_196593,39.04,-120.71,north
NF_196594,39.04,-120.71,north
NF_217862,40.66,-120.79,north
NF_217863,40.66,-120.79,north
NF_218380,40.97,-120.13,north
NF_218381,40.97,-120.14,north
NF_218382,40.97,-120.14,north
NF_218387,40.83,-120.14,north
NF_219027,38,-122.49,north
NF_219159,40.43,-121.88,north
NF_219537,41.23,-120.4,north
NF_219572,41.23,-120.4,north
NF_219598,40.39,-122.18,north
NF_219681,40.3,-122.11,north
NF_219688,40.3,-122.11,north
NF_219808,40.31,-121.76,north
NF_219810,40.31,-121.77,north
NF_219811,40.31,-121.77,north
NF_220634,40.85,-120.77,north
NF_220635,40.85,-120.77,north
NF_220636,40.85,-120.77,north
NF_221485,38.9,-121.01,north
NF_221487,38.9,-121.01,north
NF_221488,38.9,-121.01,north
NF_221489,38.92,-121.01,north
NF_221490,38.92,-121.01,north
NF_221493,38.92,-121.01,north
NF_221494,38.89,-121.02,north
NF_221496,38.89,-121.02,north
NF_221614,39.24,-120.75,north
NF_221621,39.2,-120.83,north
NF_221622,39.2,-120.83,north
NF_221624,39.19,-120.83,north
NF_221625,39.19,-120.83,north
NF_221628,39.19,-120.83,north
NF_223078,41.34,-120.6,north
NF_225109,40.92,-122.24,north
NF_225235,38.32,-122.34,north
NF_195212,36.27,-121.06,south
NF_195213,36.27,-121.06,south
NF_195986,37.12,-121.1,south
NF_196356,37.87,-122.15,south
NF_196357,37.86,-122.13,south
NF_196360,35.75,-120.77,south
NF_196363,35.75,-120.77,south
NF_196371,35.73,-120.65,south
NF_196382,35.61,-120.69,south
NF_196564,36.84,-121.48,south
NF_196565,36.84,-121.48,south
NF_196566,36.84,-121.48,south
NF_199501,37.7,-121.2,south
NF_199502,37.7,-121.2,south
NF_206894,37.79,-122.15,south
NF_216804,37.9,-122.18,south
NF_218015,37.89,-122.12,south
NF_218022,37.59,-121.9,south